Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40
ABL1	260.94	508.23	735.06	687.75	742.53	435.22	874.74	360.75	546.2	355.86	571.02	1757.05	755.76	376.32	424.77	577.23	663.24	589.22	605.94	1151.7	705.39	605.09	506.54	692.22	493.78	529.61	599.71	525.94	719.66	294.36	498.04	897.46	718.68	835.5	306.56	650.92	1395.33	1532.72	431.12	369.12
AEN	204.15	64.86	75.32	117.38	67.84	99.74	110.06	105.03	87.66	152.51	94.54	162.42	147.24	93.76	55.91	95.71	58.52	106.13	61.47	141.31	95.36	168.59	106.91	93.4	41.7	63.15	90.22	219.86	53.39	70.39	145.2	96.84	49.09	102.31	75.02	74.39	84.57	193.1	96.26	73.13
APAF1	1293.88	488.03	442.15	854.64	577.53	422.76	2248.3	1360.79	649.04	754.85	721.34	718.57	397.45	518.23	487.36	553.3	398.09	2477.66	423.28	879.67	436.3	532.48	479.55	706.13	2032.17	2026.79	1884.04	1255.93	827.51	1467.02	604.2	1125.21	1806.94	1070.2	1622.05	1054.75	1067.64	1231	470.43	709.95
ARL6IP5	3812.68	2093.54	6524.84	4154.01	3311.16	4122.17	10792.72	16187.96	6714.6	4733.97	2392.79	7559.75	5632.19	3275.38	3801.07	3635.83	3545.97	8305.21	5177.67	3254.91	3922.77	3345.92	3547.84	3359.76	8308.62	6734.25	6819.71	3284.95	3996.59	4741.82	5444.07	7582.63	7220.92	7479.38	3868.85	4157.91	3974.59	4972.27	2822.61	5216.66
ATF4	9926.49	13242.78	10896.12	10650.05	14297.01	9931.96	15280.75	12027.95	12513.8	13884.55	13174.08	25354.21	10199.73	9249.62	8899.54	8676.36	9959.49	15455.15	10418.58	16881.01	9959.12	9348.37	8027.79	10564.83	7096.12	10239.89	9197.32	14675.95	10821.64	8965.3	6624.37	15677.4	11271.19	11971.81	10164.31	8649.25	8403.71	8870.44	7135.15	5936.96
ATP2A1	13.52	15.95	9.76	7.34	16.5	6.8	27.16	18.27	42.15	16.95	15.13	7.38	21.62	19.01	15.19	13.96	12.28	18.3	12.29	22.37	23.51	17.53	13.49	8.61	12.07	14.26	21.23	38.8	8.54	9.6	10.93	20.11	35.46	11.03	10.35	7.97	21.14	12.07	20.34	13.11
BAX	2046.95	1516.19	3314.03	2886.72	1475.9	1589.02	2611.35	4406.59	2682.13	1779.28	1589.21	2596.2	1763.79	2060.26	1623.73	2144.41	1649.44	1806.7	1765.12	2779.16	2224.6	1810.25	2861.73	2560.89	1298.08	2038	1882.27	1491.59	1684.91	1958.16	1704.88	2059.19	1767.39	1427.27	2108.4	2255.63	2780.1	2836.13	1336.74	1636.54
BCL2	1256.02	1147.25	1361.32	2837.2	1156.89	1269.41	2709.97	248.87	1717.85	1497.37	504.84	2025.29	2459.84	581.59	534.15	760.66	807.02	608.74	1143.37	2122.05	1417.32	984.83	1025.53	648.5	771.39	866.73	550.18	485.7	705.78	748.71	1728.3	1430.52	1468.73	2619.84	649.34	557.93	2124.71	2582.69	1110.33	2305.79
BCL2A1	191.99	183.94	387.75	731.77	121.01	299.22	120.06	911	320.3	1991.87	191.92	105.82	67.96	248.35	605.25	149.54	268.04	767.33	194.95	22.37	195.94	161.91	700.64	239.13	252.37	410.45	741.23	991.52	395.07	2782.06	198.28	193.28	1307.81	297.89	2327	178.01	147.99	60.34	214.2	41.4
BCL2L1	2005.04	2889.91	1457.56	942.68	768.2	7200.48	894.75	1299.15	2191.56	1130.73	1518.3	3302.47	1054.36	4699.57	2630.67	2931	2809.75	3765.89	1766.87	772.51	9026.43	6097.6	8031.94	1233.41	564	1495.14	1976.03	15681.84	2022.32	2391.71	2939.83	2293.91	508.67	2116.33	567.85	718.67	5422.77	5539.5	9652.72	3500.08
